video_id,caption_len_words,has_hallucination,n_claims,claims,error
8uLzRDExhBk_11_0to106,123,1,1,"a dog is also present in the scene, looking at the helmet with curiosity",
z7zRFdFH-ys_26_0to114,74,0,0,,
ZNJpKn0LVh8_6_0to122,84,1,1,"The clock is set to 7:30 — the clock in all three frames shows 8:00 (hour hand between 8 and 9, minute hand on 12)",
i2ie35t4MQE_2_0to114,80,0,0,,
Kzx3JGB0QPU_32_0to122,108,1,1,wearing a blue shirt,
zMQI7yA9W-4_0_366to468,109,0,0,,
VWntGCy49TY_33_17to128,95,1,2,"The second man is standing — he is clearly seated/crouching on a log in all three frames, not standing. | The second man is looking down at the ground — in the third frame, he is looking upward/forward, not down.",
TbO5R3dS-6A_6_0to136,108,0,0,,
2nepnsSFWcs_84_75to183,97,0,0,,
uO7fVvmaSVI_23_0to125,93,1,1,blue baseball cap,
P5f05yqIr9E_75_23to127,91,0,0,,
KJ3aaGDE67M_65_22to158,167,1,3,"The person is wearing a black shirt and a white apron — only hands and wrists are visible; no black shirt or apron can be seen | In the second frame, the person is seen cutting the banana into slices using a knife — the visible action shows the person holding a yellow banana/plantain near a white bowl, not cutting it on a cutting board with a knife | In the third frame, the person is seen holding a spoon — the person is holding a yellow banana/plantain, not a spoon",
YUJF-L7yOkc_12_124to242,108,0,0,,
QUw2-P8y8CY_69_28to136,106,1,1,holding a knife,
uf7ZImHRb3Q_31_369to506,123,1,1,The person is using a knife to carefully cut the unicorn horn,
ZoH4rRAKwno_6_363to473,88,0,0,,
-H8k-D7kYPw_243_0to108,98,1,1,The man on the right is wearing a light-colored shirt — both men are wearing dark-colored shirts,
VzAxVNRPOME_14_49to176,98,0,0,,
QCJin8ONvtU_18_20to156,106,0,0,,
FYrDfiMPa2E_19_17to160,67,0,0,,
813HLjJdtj8_27_45to194,105,0,0,,
nBnip0Vjn5s_163_0to128,101,0,0,,
biJ2kmZyCQs_39_285to427,87,0,0,,
DqA3sdTWOSE_6_25to139,72,0,0,,
qNnFmeQttW8_345_195to298,117,0,0,,
vP6uoAwo-ig_22_45to150,105,0,0,,
THhv6PUqjK0_38_66to168,106,0,0,,
3JWKslGOZis_10_63to170,108,0,0,,
yC7B6g9lyYw_36_24to134,97,0,0,,
hgwqU83ETyg_29_0to109,83,1,1,"man wearing a black hat — he is wearing a black headband/sweatband, not a hat",
